year,ID,r_c,r_r,r_poi,FAR
11,14227,0.6,0.3,0.1,1.8
11,14724,0.7,0.2,0.1,2.2
11,14291,0.7,0.2,0.1,2.1
11,14597,0.7,0.2,0.1,2.0
11,14717,0.5,0.2,0.3,1.9
11,14563,0.6,0.1,0.3,2.2
11,14683,0.6,0.3,0.1,2.1
11,14176,0.7,0.2,0.1,1.9
12,15342,0.6,0.3,0.1,2.0
12,14123,0.7,0.2,0.1,2.1
12,14568,0.6,0.3,0.1,2.0
12,9495,0.6,0.3,0.1,2.2
12,14079,0.6,0.3,0.1,2.2
12,15088,0.7,0.2,0.1,2.2
12,15307,0.7,0.2,0.1,1.8
12,14739,0.6,0.2,0.2,1.9
12,14533,0.6,0.2,0.2,2.2
12,15366,0.6,0.2,0.2,2.2
12,14654,0.6,0.2,0.2,2.2
12,15251,0.7,0.2,0.1,2.2
12,15021,0.7,0.2,0.1,2.2
12,14658,0.6,0.2,0.2,2.1
12,9498,0.6,0.2,0.2,2.2
12,14760,0.6,0.3,0.1,2.2
12,14193,0.6,0.2,0.2,2.1
12,14593,0.7,0.2,0.1,2.2
12,14084,0.5,0.2,0.3,2.2
12,14254,0.6,0.2,0.2,2.0
12,14657,0.6,0.2,0.2,1.9
12,14569,0.5,0.2,0.3,2.2
12,14605,0.6,0.3,0.1,1.8
12,15224,0.7,0.2,0.1,2.2
12,15029,0.7,0.2,0.1,2.1
12,14549,0.7,0.2,0.1,2.0
12,14715,0.5,0.2,0.3,1.9
12,14747,0.6,0.1,0.3,2.2
12,15297,0.6,0.3,0.1,2.1
12,12044,0.7,0.2,0.1,1.9
