row,column,r_b,pop,POI,price_c,price_r,AREA
48,42,0.7,407.0,5.0,0.0,0.0,0.0
47,1,0.7,593.0,10.0,15000.0,0.0,126363.09175320748
47,2,0.7,2244.55445545,40.0,14235.0,0.0,68492.33273634534
47,3,0.7,141.584158416,5.0,0.0,0.0,0.0
47,4,0.7,1246.46464646,9.0,0.0,0.0,0.0
47,5,0.7,6407.0,64.0,27914.2,33.0664962133,0.0
47,6,0.7,15651.0,547.0,30418.1428571,40.5512708,0.0
47,7,0.7,9612.87128713,74.0,27425.2,39.28838168,0.0
47,8,0.7,3335.0,14.0,44468.0,73.2805351133,0.0
47,9,0.7,1585.85858586,16.0,0.0,52.71591957,0.0
47,10,0.7,20079.0,383.0,42030.75,45.730727145,0.0
47,11,0.7,15976.2376238,387.0,38179.8666667,51.6968641333,0.0
47,12,0.7,186.0,1.0,0.0,59.753627975,0.0
47,13,0.7,98.9898989899,0.0,0.0,0.0,0.0
47,14,0.7,100.0,0.0,0.0,0.0,0.0
47,15,0.7,768.316831683,5.0,0.0,0.0,0.0
47,16,0.7,1500.0,35.0,0.0,0.0,61486.25209165963
47,17,0.7,558.163265306,2.0,0.0,0.0,0.0
47,18,0.7,792.156862745,6.0,18000.0,0.0,0.0
47,19,0.7,14262.0,205.0,48844.2,60.53043821,0.0
47,20,0.7,21459.0,185.0,54976.125,53.1733846633,0.0
47,21,0.7,18855.5555556,392.0,41824.375,66.2588195967,0.0
47,22,0.7,13175.0,253.0,25066.5,65.77679992,0.0
47,23,0.7,4040.59405941,111.0,50000.0,66.9026555033,0.0
47,24,0.7,2764.0,66.0,33031.0,52.108139855,0.0
47,25,0.7,3299.0,33.0,10000.0,53.11278591,182936.22497613143
47,26,0.7,1072.72727273,13.0,15000.0,60.8003496,124545.03839339256
47,27,0.7,2295.0,36.0,0.0,0.0,119836.9237999156
47,28,0.7,1222.77227723,18.0,0.0,0.0,117473.21711506396
47,29,0.7,3059.0,3.0,0.0,0.0,0.0
47,30,0.7,16948.4848485,101.0,41720.8888889,51.59105355,0.0
47,31,0.7,10263.0,197.0,35296.5714286,57.98714623,0.0
47,32,0.7,1260.3960396,1.0,0.0,0.0,0.0
47,33,0.7,1207.0,17.0,0.0,0.0,0.0
47,34,0.7,20426.2626263,75.0,61453.6,63.51426211,0.0
47,35,0.7,23676.2376238,240.0,54334.3333333,75.3978257667,0.0
47,36,0.7,2331.0,48.0,49246.0,92.050246775,0.0
47,37,0.7,1569.0,17.0,0.0,0.0,0.0
47,38,0.7,503.03030303,14.0,0.0,0.0,0.0
47,39,0.7,18441.5841584,826.0,27971.5555556,53.23868768,0.0
47,40,0.7,14906.0,1283.0,18311.875,53.27152041,1411851.618179019
