year,ID,r_c,r_r,r_poi,FAR
12,14050,0.4,0.3,0.3,1.9
12,14843,0.6,0.2,0.2,2.2
12,14259,0.4,0.2,0.4,2.1
12,11797,0.5,0.2,0.3,1.9
12,14167,0.3,0.3,0.4,2.2
12,9317,0.6,0.1,0.3,1.9
12,14291,0.6,0.3,0.1,2.2
12,14729,0.7,0.2,0.1,2.2
12,14647,0.6,0.1,0.3,2.1
12,14648,0.4,0.2,0.4,1.8
12,14012,0.7,0.2,0.1,2.2
12,14322,0.6,0.1,0.3,2.0
12,14733,0.7,0.2,0.1,1.9
12,12715,0.7,0.2,0.1,2.0
12,14231,0.6,0.2,0.2,2.1
12,15539,0.3,0.3,0.4,2.1
12,15053,0.6,0.3,0.1,2.2
12,14764,0.6,0.2,0.2,2.2
12,406,0.7,0.2,0.1,2.2
12,14256,0.6,0.3,0.1,2.2
12,14583,0.6,0.1,0.3,2.2
12,14890,0.6,0.2,0.2,1.9
12,14992,0.4,0.2,0.4,1.9
12,9495,0.6,0.2,0.2,2.0
12,14396,0.2,0.4,0.4,1.9
12,14150,0.3,0.3,0.4,2.2
12,15309,0.6,0.2,0.2,1.9
12,15117,0.3,0.3,0.4,2.1
12,14294,0.6,0.1,0.3,1.8
