,Area,ID,assign_row,assign_col
226,0.0345166093228,14710,37.0,38.0
227,0.0419818601583,14711,37.0,37.0
228,0.0155094035491,14712,40.0,36.0
229,0.0491691647931,14713,39.0,36.0
230,0.0521981804066,14714,39.0,36.0
231,0.0453328120623,14715,40.0,36.0
232,0.0595173062155,14716,40.0,36.0
233,0.0778122520096,14717,40.0,36.0
234,0.105664219315,14718,38.0,37.0
235,0.0210233357702,14719,38.0,37.0
236,0.0394545166168,14720,37.0,34.0
237,0.0398329921488,14721,37.0,34.0
238,0.0073995005369,14722,37.0,34.0
239,0.0365584811705,14723,40.0,36.0
240,0.0414748499088,14724,38.0,34.0
241,0.0582053149414,14725,37.0,37.0
242,0.0250225581157,14726,36.0,34.0
243,0.0197571450487,14727,36.0,34.0
244,0.034397764213,14728,38.0,37.0
245,0.0329897986259,14729,38.0,38.0
246,0.0537320929614,14730,38.0,38.0
247,0.0329605196131,14731,38.0,38.0
