year,row,column,r_c,r_r,r_poi,FAR
9,25,36,0.7,0.2,0.1,1.8
9,8,13,0.6,0.2,0.2,2.2
9,36,14,0.6,0.1,0.3,2.2
9,38,7,0.3,0.3,0.4,2.1
9,42,26,0.2,0.7,0.1,1.9
9,49,33,0.4,0.2,0.4,1.8
9,4,37,0.2,0.4,0.4,2.0
10,43,22,0.7,0.2,0.1,1.9
10,20,3,0.2,0.6,0.2,2.1
10,42,32,0.3,0.5,0.2,2.0
10,20,4,0.4,0.3,0.3,2.2
10,7,21,0.2,0.7,0.1,2.1
10,52,25,0.4,0.3,0.3,2.2
10,42,24,0.2,0.7,0.1,1.9
10,13,5,0.2,0.7,0.1,1.8
10,45,4,0.4,0.3,0.3,2.1
10,37,11,0.4,0.4,0.4,2.1
10,13,6,0.6,0.2,0.2,1.8
10,9,26,0.2,0.7,0.1,1.8
10,17,22,0.6,0.2,0.2,2.1
10,28,29,0.7,0.2,0.1,2.1
10,33,17,0.5,0.2,0.3,1.9
10,24,33,0.2,0.6,0.2,2.1
10,27,7,0.2,0.7,0.1,2.1
10,33,38,0.2,0.4,0.4,2.1
10,35,43,0.4,0.4,0.4,1.9
10,42,40,0.7,0.2,0.1,1.9
10,35,38,0.3,0.5,0.2,2.2
10,30,37,0.3,0.3,0.4,2.1
10,5,21,0.4,0.4,0.4,1.9
10,39,40,0.6,0.3,0.1,2.0
10,15,5,0.6,0.3,0.1,2.1
10,34,20,0.6,0.1,0.3,2.0
10,51,1,0.6,0.2,0.2,1.8
10,47,1,0.6,0.3,0.1,2.2
10,4,15,0.4,0.2,0.4,2.0
10,25,23,0.6,0.1,0.3,1.9
