year,ID,r_c,r_r,r_poi,FAR
12,14917,0.4,0.3,0.3,1.8
12,14481,0.7,0.2,0.1,2.0
12,12633,0.7,0.2,0.1,1.9
12,14629,0.6,0.2,0.2,2.0
12,14245,0.1,0.6,0.3,2.1
12,14429,0.4,0.2,0.4,1.9
12,14529,0.3,0.3,0.4,2.1
12,14547,0.3,0.3,0.4,1.9
12,14957,0.7,0.2,0.1,2.2
12,14597,0.6,0.1,0.3,1.8
12,14993,0.2,0.4,0.4,2.1
12,14587,0.5,0.2,0.3,1.8
12,15546,0.6,0.2,0.2,2.2
12,14363,0.4,0.2,0.4,2.1
12,14871,0.4,0.3,0.3,2.1
12,14769,0.6,0.2,0.2,2.1
12,14431,0.6,0.3,0.1,2.1
12,14497,0.2,0.6,0.2,2.1
12,14685,0.7,0.2,0.1,2.2
12,14512,0.4,0.2,0.4,2.0
12,15001,0.3,0.5,0.2,1.8
12,15201,0.6,0.1,0.3,2.2
12,14581,0.1,0.7,0.2,1.9
12,15218,0.5,0.2,0.3,2.2
