year,ID,r_c,r_r,r_poi,FAR
7,14576,0.7,0.2,0.1,2.2
7,14700,0.6,0.1,0.3,2.1
7,14886,0.6,0.2,0.2,2.0
7,14757,0.6,0.2,0.2,1.9
7,14116,0.6,0.1,0.3,1.8
7,14681,0.6,0.3,0.1,1.8
7,14742,0.7,0.2,0.1,2.2
7,15538,0.6,0.3,0.1,2.2
7,14538,0.7,0.2,0.1,2.0
7,14912,0.5,0.2,0.3,1.9
7,15349,0.6,0.1,0.3,2.2
7,15552,0.6,0.3,0.1,2.1
7,12729,0.7,0.2,0.1,1.9
8,14086,0.6,0.3,0.1,2.0
8,14396,0.7,0.2,0.1,2.1
8,14387,0.6,0.3,0.1,2.0
8,14892,0.6,0.3,0.1,2.2
8,14070,0.6,0.3,0.1,2.2
8,14717,0.7,0.2,0.1,2.2
8,14748,0.6,0.3,0.1,2.0
8,14725,0.6,0.2,0.2,1.9
8,14566,0.6,0.2,0.2,2.2
8,15015,0.6,0.2,0.2,2.2
8,15535,0.3,0.3,0.4,2.2
8,14071,0.7,0.2,0.1,2.1
8,14171,0.7,0.2,0.1,2.2
8,14034,0.6,0.2,0.2,2.1
8,14176,0.6,0.2,0.2,2.2
8,14300,0.6,0.3,0.1,2.2
8,14447,0.6,0.2,0.2,2.1
8,14091,0.7,0.2,0.1,2.2
8,15175,0.6,0.1,0.3,2.1
8,14446,0.6,0.2,0.2,2.0
8,14449,0.6,0.2,0.2,1.9
8,15546,0.5,0.2,0.3,2.2
8,14552,0.6,0.3,0.1,1.8
8,14595,0.7,0.2,0.1,2.2
8,14170,0.7,0.2,0.1,2.1
8,14174,0.7,0.2,0.1,2.0
8,14204,0.5,0.2,0.3,1.9
8,14697,0.6,0.1,0.3,2.2
8,14685,0.6,0.3,0.1,2.1
8,14512,0.7,0.2,0.1,1.9
9,15539,0.6,0.3,0.1,2.0
9,14334,0.5,0.2,0.3,1.9
9,14656,0.6,0.3,0.1,2.0
9,14510,0.6,0.3,0.1,2.2
9,15176,0.6,0.3,0.1,2.2
9,14401,0.7,0.2,0.1,2.2
9,14847,0.6,0.3,0.1,2.0
9,14285,0.6,0.2,0.2,1.9
9,14100,0.6,0.2,0.2,2.2
9,14875,0.6,0.2,0.2,2.2
9,14649,0.3,0.3,0.4,2.2
9,14124,0.7,0.2,0.1,2.2
9,14529,0.7,0.2,0.1,2.2
9,14167,0.6,0.2,0.2,2.1
9,14151,0.6,0.2,0.2,2.2
9,14082,0.6,0.3,0.1,2.2
9,14766,0.6,0.2,0.2,2.1
9,14591,0.7,0.2,0.1,2.2
9,15140,0.5,0.2,0.3,2.2
9,14227,0.6,0.2,0.2,2.0
9,14257,0.6,0.2,0.2,1.9
9,15551,0.5,0.2,0.3,2.2
9,14410,0.6,0.3,0.1,1.8
9,14122,0.7,0.2,0.1,2.2
9,14465,0.7,0.2,0.1,2.1
9,14197,0.7,0.2,0.1,2.0
9,15337,0.5,0.2,0.3,1.9
9,14074,0.6,0.1,0.3,2.2
9,9318,0.6,0.3,0.1,2.1
9,14732,0.7,0.2,0.1,1.9
10,14378,0.6,0.3,0.1,2.0
10,14744,0.7,0.2,0.1,2.1
10,14774,0.6,0.3,0.1,1.9
10,15151,0.6,0.3,0.1,2.2
10,15226,0.6,0.3,0.1,2.2
10,14711,0.7,0.2,0.1,2.2
10,14736,0.7,0.2,0.1,1.8
10,14517,0.6,0.2,0.2,1.9
10,15139,0.7,0.2,0.1,2.1
10,14557,0.6,0.2,0.2,2.2
10,14578,0.6,0.2,0.2,2.2
10,14043,0.7,0.2,0.1,2.2
10,14943,0.7,0.2,0.1,2.2
10,14600,0.6,0.2,0.2,2.2
10,15537,0.6,0.2,0.2,2.2
10,14134,0.6,0.3,0.1,2.2
10,14691,0.6,0.2,0.2,2.1
10,14682,0.7,0.2,0.1,2.2
10,14117,0.5,0.2,0.3,2.2
10,15366,0.6,0.2,0.2,2.0
10,14702,0.6,0.2,0.2,1.9
10,14657,0.6,0.1,0.3,1.8
10,15026,0.6,0.3,0.1,1.8
10,14075,0.7,0.2,0.1,2.2
10,14523,0.7,0.2,0.1,2.1
10,15554,0.7,0.2,0.1,2.0
10,14258,0.5,0.2,0.3,1.9
10,14115,0.6,0.1,0.3,2.2
10,14198,0.6,0.3,0.1,2.1
10,14318,0.7,0.2,0.1,1.9
11,14547,0.6,0.3,0.1,2.0
11,14255,0.7,0.2,0.1,2.1
11,15547,0.6,0.3,0.1,2.0
11,14827,0.6,0.3,0.1,2.2
11,14846,0.6,0.3,0.1,2.2
11,14036,0.7,0.2,0.1,2.2
11,15307,0.6,0.3,0.1,2.0
11,15071,0.6,0.2,0.2,1.9
11,14099,0.6,0.2,0.2,2.2
11,9335,0.6,0.2,0.2,2.2
11,14408,0.3,0.3,0.4,2.2
11,14229,0.7,0.2,0.1,2.1
11,14739,0.7,0.2,0.1,2.2
11,15016,0.6,0.2,0.2,2.1
11,14652,0.6,0.2,0.2,2.2
11,14395,0.6,0.3,0.1,2.2
11,14467,0.6,0.2,0.2,2.1
11,14634,0.7,0.2,0.1,2.2
11,14454,0.6,0.1,0.3,2.1
11,14504,0.6,0.2,0.2,2.0
11,14397,0.6,0.2,0.2,1.9
11,14623,0.5,0.2,0.3,2.2
11,14555,0.6,0.3,0.1,1.8
11,14653,0.7,0.2,0.1,2.2
11,14012,0.7,0.2,0.1,2.1
11,14193,0.7,0.2,0.1,2.0
11,14032,0.5,0.2,0.3,1.9
11,14533,0.6,0.1,0.3,2.2
11,12678,0.6,0.3,0.1,2.1
11,14581,0.7,0.2,0.1,1.9
12,14295,0.6,0.3,0.1,2.0
12,15379,0.7,0.2,0.1,2.1
12,15127,0.6,0.3,0.1,2.0
12,14094,0.6,0.3,0.1,2.2
12,14934,0.6,0.3,0.1,2.2
12,14568,0.7,0.2,0.1,2.2
12,15560,0.7,0.2,0.1,1.8
12,14305,0.6,0.2,0.2,1.9
12,14636,0.6,0.2,0.2,2.2
12,15021,0.6,0.2,0.2,2.2
12,15252,0.3,0.3,0.4,2.2
12,14093,0.7,0.2,0.1,2.1
12,15332,0.7,0.2,0.1,2.2
12,14838,0.5,0.2,0.3,2.1
12,14848,0.6,0.2,0.2,2.2
12,14724,0.6,0.3,0.1,2.2
12,14488,0.6,0.2,0.2,2.1
12,14294,0.7,0.2,0.1,2.2
12,15234,0.5,0.2,0.3,2.2
12,14525,0.6,0.2,0.2,2.0
12,14705,0.6,0.2,0.2,1.9
12,14291,0.7,0.2,0.1,1.9
12,12759,0.6,0.3,0.1,1.8
12,14049,0.7,0.2,0.1,2.2
12,14377,0.6,0.3,0.1,2.2
12,14738,0.7,0.2,0.1,2.0
12,14260,0.5,0.2,0.3,1.9
12,14508,0.6,0.1,0.3,2.2
12,14403,0.6,0.3,0.1,2.1
12,9507,0.7,0.2,0.1,1.9
