year,row,column,r_c,r_r,r_poi,FAR,assigned_grid
12,35,44,0.6,0.3,0.1,1.9,"(35, 44)"
12,49,4,0.1,0.7,0.2,2.2,"(49, 4)"
12,16,14,0.7,0.2,0.1,2.0,"(16, 14)"
12,38,14,0.4,0.3,0.3,2.1,"(38, 14)"
12,3,26,0.6,0.1,0.3,2.1,"(3, 26)"
12,9,27,0.7,0.2,0.1,2.1,"(9, 27)"
12,17,22,0.2,0.4,0.4,1.9,"(17, 22)"
12,40,32,0.5,0.2,0.3,2.0,"(40, 32)"
12,15,5,0.6,0.3,0.1,2.2,"(15, 5)"
12,4,37,0.2,0.4,0.4,1.8,"(4, 37)"
12,3,27,0.4,0.4,0.4,1.9,"(3, 27)"
12,42,27,0.4,0.4,0.4,1.8,"(42, 27)"
12,20,44,0.6,0.2,0.2,2.2,"(20, 44)"
12,4,20,0.6,0.3,0.1,1.8,"(4, 20)"
12,23,47,0.2,0.7,0.1,1.9,"(23, 47)"
12,10,6,0.2,0.4,0.4,2.1,"(10, 6)"
12,38,3,0.6,0.2,0.2,2.0,"(38, 3)"
12,51,4,0.4,0.3,0.3,1.8,"(51, 4)"
12,25,18,0.1,0.6,0.3,2.2,"(25, 18)"
12,40,21,0.6,0.2,0.2,2.1,"(40, 21)"
12,36,31,0.4,0.3,0.3,2.2,"(36, 31)"
12,31,34,0.7,0.2,0.1,2.0,"(31, 34)"
12,17,15,0.6,0.1,0.3,1.9,"(17, 15)"
12,7,8,0.4,0.3,0.3,1.9,"(7, 8)"
12,19,41,0.3,0.5,0.2,2.0,"(19, 41)"
12,21,32,0.1,0.6,0.3,2.2,"(21, 32)"
12,39,30,0.3,0.5,0.2,2.2,"(39, 30)"
12,19,35,0.3,0.5,0.2,1.8,"(19, 35)"
12,13,42,0.4,0.2,0.4,1.8,"(13, 42)"
12,22,32,0.4,0.4,0.4,1.9,"(22, 32)"
