year,idx,r_c,r_r,r_poi,FAR
12,521,0.4,0.3,0.3,1.8
12,450,0.6,0.1,0.3,2.2
12,150,0.1,0.7,0.2,1.8
12,1346,0.4,0.4,0.4,2.1
12,1070,0.4,0.3,0.3,1.9
12,615,0.4,0.4,0.4,1.8
12,664,0.2,0.4,0.4,2.1
12,76,0.6,0.2,0.2,2.1
12,646,0.6,0.2,0.2,2.0
12,618,0.7,0.2,0.1,1.9
12,992,0.4,0.2,0.4,1.8
12,158,0.3,0.5,0.2,2.2
12,117,0.4,0.4,0.4,2.2
12,335,0.7,0.2,0.1,2.1
12,348,0.1,0.6,0.3,1.8
12,575,0.2,0.7,0.1,1.8
12,69,0.2,0.6,0.2,1.8
12,1345,0.6,0.2,0.2,1.8
12,143,0.3,0.5,0.2,2.0
12,577,0.4,0.3,0.3,2.2
12,890,0.6,0.2,0.2,2.1
12,1179,0.2,0.4,0.4,2.0
12,713,0.5,0.2,0.3,2.2
12,63,0.3,0.3,0.4,2.2
12,225,0.4,0.4,0.4,2.2
